organismen:
potato [solanum]
banana [musa]
cacao [theobroma]
pea [pisum]
cotton [gossypium]
kiwi [actinidia]
coffee [coffea]
coconut [cocus]
mandarin [citrus]
mango [mangifera]
melon [cucumis]
pepper [capsicum]
pear [pyrus]
peanut [arachis]
rice [oryza]
orange [citrus]
spinach [spinacea]
sugarbeet [beta]
onion [allium]
watermelon [citrullus]
carrot [daucus]
sunflower [helianthus]
